asset,timeframe,model_family,candidate_id,experiment_phase,input_family,weeks_observed,best_week,best_week_rap_pct,best_week_return_pct,best4_end_week,best4_mean_rap_pct,mean_weekly_rap_pct,mean_weekly_return_pct,mean_weekly_drawdown_pct,mean_weekly_trades,rel_volume,k_sl,k_tp,risk_penalty_lambda
ethusdt,4h,sac,ethusdt_4h_kitchen_sink_guarded_exec_annual_4y_2022val_2023test_rap_sac_annual_fyv2022_fyt2023_scratch_4y_valyear_aware_rv0p50_base_sltp_risk_geometry_phase8_v3_seed18_adaptive_top_seed_extension_seed18_v1,adaptive_top_seed_extension_seed18_v1,kitchen_sink_guarded,40,2022-06-06,9.487644,10.708424,2022-08-01,4.229178,-1.690586,0.124028,3.629227,3.325,0.5,2.0,3.0,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_fixed_rv0p50_sl1p25_tp1p25_sltp_risk_geometry_phase8_v1_seed7_adaptive_top_seed_extension_seed7_v1_seed15_adaptive_top_seed_extension_seed15_v1,adaptive_top_seed_extension_seed15_v1,kitchen_sink_guarded,10,2023-12-04,7.684109,9.540533,2023-12-25,4.071292,-0.146481,2.481597,5.256157,7.6,0.5,1.25,1.25,0.5
solusdt,1h,sac,solusdt_1h_sota_low_cost_sac_warm_start_chain_1y_seed5_asset_preset_broadening_phase5_v1_fixed_rv0p50_sl1p25_tp1p25_sltp_risk_geometry_phase8_v1_seed9_adaptive_top_seed_extension_seed9_v1,adaptive_top_seed_extension_seed9_v1,sota_low_cost,8,2023-10-30,8.170735,9.80048,2023-11-06,4.009085,-1.226607,1.028771,4.510756,23.25,0.5,1.25,1.25,0.5
ethusdt,4h,sac,ethusdt_4h_kitchen_sink_guarded_exec_annual_4y_2022val_2023test_rap_sac_annual_fyv2022_fyt2023_fine_tune_recent_window_m12_base4y_valyear_aware_rv0p50_base_sltp_risk_geometry_phase8_v3,sltp_risk_geometry_phase8_v3,kitchen_sink_guarded,5,2022-07-11,8.759212,10.152526,2023-01-02,3.99966,1.830283,3.771391,3.882216,7.2,0.5,2.0,3.0,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_fixed_rv0p50_sl1p25_tp1p25_sltp_risk_geometry_phase8_v1_seed9_adaptive_top_seed_extension_seed9_v1,adaptive_top_seed_extension_seed9_v1,kitchen_sink_guarded,10,2023-12-18,11.220329,12.639397,2023-12-18,3.71592,1.426836,3.916543,4.979415,6.7,0.5,1.25,1.25,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_margin_aware_rv0p50_cap2p5_sltp_risk_geometry_phase8_v1_seed9_adaptive_top_seed_extension_seed9_v1_seed10_adaptive_top_seed_extension_seed10_v1,adaptive_top_seed_extension_seed10_v1,kitchen_sink_guarded,10,2023-12-04,8.90423,10.80892,2023-12-04,3.639369,-0.906207,1.521209,4.854832,5.7,0.5,2.0,3.0,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_aware_rv0p50_base_sltp_risk_geometry_phase8_v1_seed10_adaptive_top_seed_extension_seed10_v1,adaptive_top_seed_extension_seed10_v1,kitchen_sink_guarded,10,2023-11-06,12.550298,14.663907,2023-11-27,3.637043,-1.071577,1.958289,6.059731,6.2,0.5,2.0,3.0,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_margin_aware_rv0p50_cap2p5_sltp_risk_geometry_phase8_v1_seed9_adaptive_top_seed_extension_seed9_v1_seed15_adaptive_top_seed_extension_seed15_v1,adaptive_top_seed_extension_seed15_v1,kitchen_sink_guarded,10,2023-12-04,8.90423,10.80892,2023-12-11,3.632943,-2.449392,0.546477,5.991738,3.3,0.5,2.0,3.0,0.5
solusdt,1h,sac,solusdt_1h_tech_stat_decomp_sac_warm_start_chain_1y_seed5_asset_preset_broadening_phase5_v1_aware_rv0p50_base_sltp_risk_geometry_phase8_v1,sltp_risk_geometry_phase8_v1,tech_stat_decomp,8,2023-10-30,9.033077,11.173816,2023-11-13,3.571725,-3.222838,0.125993,6.697663,18.625,0.5,2.0,3.0,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_fixed_rv0p50_sl1p25_tp1p25_sltp_risk_geometry_phase8_v1_seed7_adaptive_top_seed_extension_seed7_v1_seed12_adaptive_top_seed_extension_seed12_v1,adaptive_top_seed_extension_seed12_v1,kitchen_sink_guarded,10,2023-12-04,7.684109,9.540533,2023-12-11,3.499978,-3.045929,0.060499,6.212855,6.6,0.5,1.25,1.25,0.5
