run_id,asset,timeframe,preset,algo,seed,timesteps
ethusdt_4h_kitchen_sink_guarded_sac_s1,ethusdt,4h,kitchen_sink_guarded,sac,1,100000
ethusdt_4h_kitchen_sink_guarded_dqn_s0,ethusdt,4h,kitchen_sink_guarded,dqn,0,100000
ethusdt_4h_kitchen_sink_guarded_dqn_s1,ethusdt,4h,kitchen_sink_guarded,dqn,1,100000
eurusd_1h_baseline_12_ppo_s0,eurusd,1h,baseline_12,ppo,0,100000
eurusd_1h_baseline_12_ppo_s1,eurusd,1h,baseline_12,ppo,1,100000
eurusd_1h_baseline_12_sac_s0,eurusd,1h,baseline_12,sac,0,100000
eurusd_1h_baseline_12_sac_s1,eurusd,1h,baseline_12,sac,1,100000
eurusd_1h_baseline_12_dqn_s0,eurusd,1h,baseline_12,dqn,0,100000
eurusd_1h_baseline_12_dqn_s1,eurusd,1h,baseline_12,dqn,1,100000
eurusd_1h_tech_full_ppo_s0,eurusd,1h,tech_full,ppo,0,100000
eurusd_1h_tech_full_ppo_s1,eurusd,1h,tech_full,ppo,1,100000
eurusd_1h_tech_full_sac_s0,eurusd,1h,tech_full,sac,0,100000
eurusd_1h_tech_full_sac_s1,eurusd,1h,tech_full,sac,1,100000
eurusd_1h_tech_full_dqn_s0,eurusd,1h,tech_full,dqn,0,100000
eurusd_1h_tech_full_dqn_s1,eurusd,1h,tech_full,dqn,1,100000
eurusd_1h_tech_stat_ppo_s0,eurusd,1h,tech_stat,ppo,0,100000
eurusd_1h_tech_stat_ppo_s1,eurusd,1h,tech_stat,ppo,1,100000
eurusd_1h_tech_stat_sac_s0,eurusd,1h,tech_stat,sac,0,100000
eurusd_1h_tech_stat_sac_s1,eurusd,1h,tech_stat,sac,1,100000
eurusd_1h_tech_stat_dqn_s0,eurusd,1h,tech_stat,dqn,0,100000
eurusd_1h_tech_stat_dqn_s1,eurusd,1h,tech_stat,dqn,1,100000
eurusd_1h_tech_stat_decomp_ppo_s0,eurusd,1h,tech_stat_decomp,ppo,0,100000
eurusd_1h_tech_stat_decomp_ppo_s1,eurusd,1h,tech_stat_decomp,ppo,1,100000
eurusd_1h_tech_stat_decomp_sac_s0,eurusd,1h,tech_stat_decomp,sac,0,100000
eurusd_1h_tech_stat_decomp_sac_s1,eurusd,1h,tech_stat_decomp,sac,1,100000
eurusd_1h_tech_stat_decomp_dqn_s0,eurusd,1h,tech_stat_decomp,dqn,0,100000
eurusd_1h_tech_stat_decomp_dqn_s1,eurusd,1h,tech_stat_decomp,dqn,1,100000
eurusd_1h_learned_lstm_ppo_s0,eurusd,1h,learned_lstm,ppo,0,100000
eurusd_1h_learned_lstm_ppo_s1,eurusd,1h,learned_lstm,ppo,1,100000
eurusd_1h_learned_lstm_sac_s0,eurusd,1h,learned_lstm,sac,0,100000
eurusd_1h_learned_lstm_sac_s1,eurusd,1h,learned_lstm,sac,1,100000
eurusd_1h_learned_lstm_dqn_s0,eurusd,1h,learned_lstm,dqn,0,100000
eurusd_1h_learned_lstm_dqn_s1,eurusd,1h,learned_lstm,dqn,1,100000
eurusd_1h_learned_cnn_ppo_s0,eurusd,1h,learned_cnn,ppo,0,100000
eurusd_1h_learned_cnn_ppo_s1,eurusd,1h,learned_cnn,ppo,1,100000
eurusd_1h_learned_cnn_sac_s0,eurusd,1h,learned_cnn,sac,0,100000
eurusd_1h_learned_cnn_sac_s1,eurusd,1h,learned_cnn,sac,1,100000
eurusd_1h_learned_cnn_dqn_s0,eurusd,1h,learned_cnn,dqn,0,100000
eurusd_1h_learned_cnn_dqn_s1,eurusd,1h,learned_cnn,dqn,1,100000
eurusd_1h_sota_low_cost_ppo_s0,eurusd,1h,sota_low_cost,ppo,0,100000
eurusd_1h_sota_low_cost_ppo_s1,eurusd,1h,sota_low_cost,ppo,1,100000
eurusd_1h_sota_low_cost_sac_s0,eurusd,1h,sota_low_cost,sac,0,100000
eurusd_1h_sota_low_cost_sac_s1,eurusd,1h,sota_low_cost,sac,1,100000
eurusd_1h_sota_low_cost_dqn_s0,eurusd,1h,sota_low_cost,dqn,0,100000
eurusd_1h_sota_low_cost_dqn_s1,eurusd,1h,sota_low_cost,dqn,1,100000
eurusd_1h_fx_full_ppo_s0,eurusd,1h,fx_full,ppo,0,100000
eurusd_1h_fx_full_ppo_s1,eurusd,1h,fx_full,ppo,1,100000
eurusd_1h_fx_full_sac_s0,eurusd,1h,fx_full,sac,0,100000
eurusd_1h_fx_full_sac_s1,eurusd,1h,fx_full,sac,1,100000
eurusd_1h_fx_full_dqn_s0,eurusd,1h,fx_full,dqn,0,100000
eurusd_1h_fx_full_dqn_s1,eurusd,1h,fx_full,dqn,1,100000
eurusd_1h_kitchen_sink_guarded_ppo_s0,eurusd,1h,kitchen_sink_guarded,ppo,0,100000
eurusd_1h_kitchen_sink_guarded_ppo_s1,eurusd,1h,kitchen_sink_guarded,ppo,1,100000
eurusd_1h_kitchen_sink_guarded_sac_s0,eurusd,1h,kitchen_sink_guarded,sac,0,100000
eurusd_1h_kitchen_sink_guarded_sac_s1,eurusd,1h,kitchen_sink_guarded,sac,1,100000
eurusd_1h_kitchen_sink_guarded_dqn_s0,eurusd,1h,kitchen_sink_guarded,dqn,0,100000
eurusd_1h_kitchen_sink_guarded_dqn_s1,eurusd,1h,kitchen_sink_guarded,dqn,1,100000
eurusd_4h_baseline_12_ppo_s0,eurusd,4h,baseline_12,ppo,0,100000
eurusd_4h_baseline_12_ppo_s1,eurusd,4h,baseline_12,ppo,1,100000
eurusd_4h_baseline_12_sac_s0,eurusd,4h,baseline_12,sac,0,100000
eurusd_4h_baseline_12_sac_s1,eurusd,4h,baseline_12,sac,1,100000
eurusd_4h_baseline_12_dqn_s0,eurusd,4h,baseline_12,dqn,0,100000
eurusd_4h_baseline_12_dqn_s1,eurusd,4h,baseline_12,dqn,1,100000
eurusd_4h_tech_full_ppo_s0,eurusd,4h,tech_full,ppo,0,100000
eurusd_4h_tech_full_ppo_s1,eurusd,4h,tech_full,ppo,1,100000
eurusd_4h_tech_full_sac_s0,eurusd,4h,tech_full,sac,0,100000
eurusd_4h_tech_full_sac_s1,eurusd,4h,tech_full,sac,1,100000
eurusd_4h_tech_full_dqn_s0,eurusd,4h,tech_full,dqn,0,100000
eurusd_4h_tech_full_dqn_s1,eurusd,4h,tech_full,dqn,1,100000
eurusd_4h_tech_stat_ppo_s0,eurusd,4h,tech_stat,ppo,0,100000
eurusd_4h_tech_stat_ppo_s1,eurusd,4h,tech_stat,ppo,1,100000
eurusd_4h_tech_stat_sac_s0,eurusd,4h,tech_stat,sac,0,100000
eurusd_4h_tech_stat_sac_s1,eurusd,4h,tech_stat,sac,1,100000
eurusd_4h_tech_stat_dqn_s0,eurusd,4h,tech_stat,dqn,0,100000
eurusd_4h_tech_stat_dqn_s1,eurusd,4h,tech_stat,dqn,1,100000
eurusd_4h_tech_stat_decomp_ppo_s0,eurusd,4h,tech_stat_decomp,ppo,0,100000
eurusd_4h_tech_stat_decomp_ppo_s1,eurusd,4h,tech_stat_decomp,ppo,1,100000
eurusd_4h_tech_stat_decomp_sac_s0,eurusd,4h,tech_stat_decomp,sac,0,100000
